"rank","business_name","telephone","business_page","category","website","street_address","locality","region","zipcode","listing_url"
"1.","Bonefish Grill","(614) 789-3474","https://www.yellowpages.com/dublin-oh/mip/bonefish-grill-2088535","Restaurants, Seafood Restaurants, American Restaurants","https://locations.bonefishgrill.com/ohio/dublin/5712-frantz-road?y_source=1_MTU1MDI3OTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","5712 Frantz Rd","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"2.","BJ's Restaurants","(614) 659-9400","https://www.yellowpages.com/dublin-oh/mip/bjs-restaurants-473824384","Restaurants, American Restaurants, Pizza","http://www.bjsrestaurants.com/locations/oh/tuttle-crossing","5141 Tuttle Crossing Blvd","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"3.","Morettis","(614) 763-6653","https://www.yellowpages.com/dublin-oh/mip/morettis-461917881?lid=210729017","Restaurants, Seafood Restaurants, American Restaurants","http://www.morettiscolumbus.com","5849 Sawmill Rd","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"4.","Tucci's","(614) 792-3466","https://www.yellowpages.com/dublin-oh/mip/tuccis-3744914","Restaurants, American Restaurants, Bars","https://tuccisdublin.com","35 N High St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"5.","Ronin Restaurant","(614) 389-5866","https://www.yellowpages.com/dublin-oh/mip/ronin-restaurant-465117377","Restaurants, Family Style Restaurants","http://roninsushioh.com","6100 Parkcenter Cir","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"6.","Noodles & Company","(614) 210-8240","https://www.yellowpages.com/dublin-oh/mip/noodles-company-5471090","Restaurants, Asian Restaurants","https://locations.noodles.com/oh/dublin/6104-parkcenter-cir.html","6104 Parkcenter Cir","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"7.","T.G.I. Friday's","(614) 734-1474","https://www.yellowpages.com/dublin-oh/mip/t-g-i-fridays-10699791","Restaurants, American Restaurants, Take Out Restaurants","http://www.tgifridays.com","5043 Tuttle Crossing Blvd Ste 173","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"8.","First Watch Restaurant","(614) 799-2774","https://www.yellowpages.com/dublin-oh/mip/first-watch-restaurant-1729236","Restaurants, Breakfast, Brunch & Lunch Restaurants, American Restaurants","http://www.firstwatch.com","6768 Perimeter Loop Rd","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"9.","Pei Wei","(614) 726-4190","https://www.yellowpages.com/dublin-oh/mip/pei-wei-3789637","Restaurants, Asian Restaurants, Chinese Restaurants","http://www.peiwei.com","7571 Sawmill Rd","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"10.","Max & Erma's","(614) 889-8111","https://www.yellowpages.com/dublin-oh/mip/max-ermas-7399476","Restaurants, American Restaurants, Family Style Restaurants","https://www.maxandermas.com/dublin","411 Metro Pl N","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"11.","P.F. Chang's","(614) 726-0070","https://www.yellowpages.com/dublin-oh/mip/p-f-changs-460660305","Restaurants, Chinese Restaurants, Asian Restaurants","https://www.pfchangs.com/locations/us/oh/dublin/6135-parkcenter-circle/9933-dublin.html","6135 Parkcenter Cir","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"12.","Nori Japan","(614) 717-9828","https://www.yellowpages.com/dublin-oh/mip/nori-japan-457361648","Restaurants, Japanese Restaurants","https://www.shoptuttlecrossing.com/store/Nori-Japan/2138989413","5043 Tuttle Crossing Blvd","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"13.","UNO Pizzeria & Grill","(614) 793-8300","https://www.yellowpages.com/dublin-oh/mip/uno-pizzeria-grill-473782478","Restaurants, Italian Restaurants, Take Out Restaurants","","5930 Britton Pkwy","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"14.","LongHorn Steakhouse","(614) 760-5560","https://www.yellowpages.com/dublin-oh/mip/longhorn-steakhouse-117431","Restaurants, Steak Houses, Take Out Restaurants","http://www.longhornsteakhouse.com/specials/featured-flavors?cmpid=br:lh_ag:ie_ch:dry_ca:LHQ4BoldBone_dt:20170410_sn:yp_gt:oh-dublin-5091_pl:OtherLink_rd:1346","6035 Blazer Pkwy","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"15.","Mezzo","(614) 889-6100","https://www.yellowpages.com/dublin-oh/mip/mezzo-464618056","Restaurants, Italian Restaurants, American Restaurants","","12 W Bridge St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"16.","City Barbeque","(614) 538-1230","https://www.yellowpages.com/dublin-oh/mip/city-barbeque-467692894","Restaurants, Barbecue Restaurants, Steak Houses","http://www.citybbq.com","6277 Riverside Dr","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"17.","Shi Chi Japanese Steakhouse","(614) 789-4400","https://www.yellowpages.com/dublin-oh/mip/shi-chi-japanese-steakhouse-6631204","Restaurants, Japanese Restaurants, Take Out Restaurants","http://www.shichidublin.com","6377 Sawmill Rd","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"18.","Vincenzo's Convenient Elegance","(614) 792-1010","https://www.yellowpages.com/dublin-oh/mip/vincenzos-convenient-elegance-8216912","Restaurants, Italian Restaurants, Gourmet Shops","https://www.italianmarketdublinoh.com","6393 Sawmill Rd","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
